ONSConstID,ConstituencyName,RegionID,RegionName,CountryID,CountryName,DateOfThisUpdate,DateOfDataset,WageMedianConst,WageMedianRegion,WageMedianCountry
E14000554,Berwick-upon-Tweed,E15000001,North East,K02000001,UK,11/1/23,4/1/23,623,614,682
E14000569,Bishop Auckland,E15000001,North East,K02000001,UK,11/1/23,4/1/23,606,614,682
E14000574,Blaydon,E15000001,North East,K02000001,UK,11/1/23,4/1/23,625,614,682
E14000575,Blyth Valley,E15000001,North East,K02000001,UK,11/1/23,4/1/23,658,614,682
E14000641,City of Durham,E15000001,North East,K02000001,UK,11/1/23,4/1/23,586,614,682
E14000658,Darlington,E15000001,North East,K02000001,UK,11/1/23,4/1/23,587,614,682
E14000677,Easington,E15000001,North East,K02000001,UK,11/1/23,4/1/23,625,614,682
E14000709,Gateshead,E15000001,North East,K02000001,UK,11/1/23,4/1/23,576,614,682
E14000733,Hartlepool,E15000001,North East,K02000001,UK,11/1/23,4/1/23,620,614,682
E14000746,Hexham,E15000001,North East,K02000001,UK,11/1/23,4/1/23,711,614,682
E14000754,Houghton and Sunderland South,E15000001,North East,K02000001,UK,11/1/23,4/1/23,574,614,682
E14000765,Jarrow,E15000001,North East,K02000001,UK,11/1/23,4/1/23,600,614,682
E14000819,Middlesbrough,E15000001,North East,K02000001,UK,11/1/23,4/1/23,537,614,682
E14000820,Middlesbrough South and East Cleveland,E15000001,North East,K02000001,UK,11/1/23,4/1/23,627,614,682
E14000831,Newcastle upon Tyne Central,E15000001,North East,K02000001,UK,11/1/23,4/1/23,625,614,682
E14000832,Newcastle upon Tyne East,E15000001,North East,K02000001,UK,11/1/23,4/1/23,613,614,682
E14000833,Newcastle upon Tyne North,E15000001,North East,K02000001,UK,11/1/23,4/1/23,672,614,682
E14000840,North Durham,E15000001,North East,K02000001,UK,11/1/23,4/1/23,593,614,682
E14000853,North Tyneside,E15000001,North East,K02000001,UK,11/1/23,4/1/23,626,614,682
E14000856,North West Durham,E15000001,North East,K02000001,UK,11/1/23,4/1/23,648,614,682
E14000891,Redcar,E15000001,North East,K02000001,UK,11/1/23,4/1/23,552,614,682
E14000915,Sedgefield,E15000001,North East,K02000001,UK,11/1/23,4/1/23,618,614,682
E14000944,South Shields,E15000001,North East,K02000001,UK,11/1/23,4/1/23,582,614,682
E14000970,Stockton North,E15000001,North East,K02000001,UK,11/1/23,4/1/23,564,614,682
E14000971,Stockton South,E15000001,North East,K02000001,UK,11/1/23,4/1/23,665,614,682
E14000982,Sunderland Central,E15000001,North East,K02000001,UK,11/1/23,4/1/23,580,614,682
E14001006,Tynemouth,E15000001,North East,K02000001,UK,11/1/23,4/1/23,698,614,682
E14001014,Wansbeck,E15000001,North East,K02000001,UK,11/1/23,4/1/23,610,614,682
E14001020,Washington and Sunderland West,E15000001,North East,K02000001,UK,11/1/23,4/1/23,597,614,682
E14000532,Altrincham and Sale West,E15000002,North West,K02000001,UK,11/1/23,4/1/23,805,649,682
E14000537,Ashton-under-Lyne,E15000002,North West,K02000001,UK,11/1/23,4/1/23,556,649,682
E14000543,Barrow and Furness,E15000002,North West,K02000001,UK,11/1/23,4/1/23,705,649,682
E14000559,Birkenhead,E15000002,North West,K02000001,UK,11/1/23,4/1/23,641,649,682
E14000570,Blackburn,E15000002,North West,K02000001,UK,11/1/23,4/1/23,581,649,682
E14000571,Blackley and Broughton,E15000002,North West,K02000001,UK,11/1/23,4/1/23,558,649,682
E14000572,Blackpool North and Cleveleys,E15000002,North West,K02000001,UK,11/1/23,4/1/23,566,649,682
E14000573,Blackpool South,E15000002,North West,K02000001,UK,11/1/23,4/1/23,525,649,682
E14000578,Bolton North East,E15000002,North West,K02000001,UK,11/1/23,4/1/23,620,649,682
E14000579,Bolton South East,E15000002,North West,K02000001,UK,11/1/23,4/1/23,582,649,682
E14000580,Bolton West,E15000002,North West,K02000001,UK,11/1/23,4/1/23,662,649,682
E14000581,Bootle,E15000002,North West,K02000001,UK,11/1/23,4/1/23,622,649,682
E14000609,Burnley,E15000002,North West,K02000001,UK,11/1/23,4/1/23,578,649,682
E14000611,Bury North,E15000002,North West,K02000001,UK,11/1/23,4/1/23,632,649,682
E14000612,Bury South,E15000002,North West,K02000001,UK,11/1/23,4/1/23,623,649,682
E14000620,Carlisle,E15000002,North West,K02000001,UK,11/1/23,4/1/23,609,649,682
E14000627,Cheadle,E15000002,North West,K02000001,UK,11/1/23,4/1/23,757,649,682
E14000637,Chorley,E15000002,North West,K02000001,UK,11/1/23,4/1/23,659,649,682
E14000640,City of Chester,E15000002,North West,K02000001,UK,11/1/23,4/1/23,685,649,682
E14000646,Congleton,E15000002,North West,K02000001,UK,11/1/23,4/1/23,725,649,682
E14000647,Copeland,E15000002,North West,K02000001,UK,11/1/23,4/1/23,774,649,682
E14000653,Crewe and Nantwich,E15000002,North West,K02000001,UK,11/1/23,4/1/23,623,649,682
E14000661,Denton and Reddish,E15000002,North West,K02000001,UK,11/1/23,4/1/23,629,649,682
E14000686,Eddisbury,E15000002,North West,K02000001,UK,11/1/23,4/1/23,760,649,682
E14000688,Ellesmere Port and Neston,E15000002,North West,K02000001,UK,11/1/23,4/1/23,653,649,682
E14000706,Fylde,E15000002,North West,K02000001,UK,11/1/23,4/1/23,726,649,682
E14000708,Garston and Halewood,E15000002,North West,K02000001,UK,11/1/23,4/1/23,728,649,682
E14000725,Halton,E15000002,North West,K02000001,UK,11/1/23,4/1/23,663,649,682
E14000738,Hazel Grove,E15000002,North West,K02000001,UK,11/1/23,4/1/23,693,649,682
